N,P,K,temperature,humidity,ph,rainfall,label
103.3,33.08,31.3,26.54,63.85,6.74,155.3,coffee
20.89,122.9,211.21,11.29,87.39,6.67,66.33,grapes
20.44,59.65,19.03,33.14,87.8,6.13,66.39,mungbean
103.65,33.53,34.79,25.38,59.12,6.68,160.83,coffee
22.5,75.88,21.31,24.14,24.61,5.72,123.13,kidneybeans
120.65,46.49,42.47,24.11,78.99,6.47,67.89,cotton
20.04,132.16,202.82,23.15,92.03,6.73,111.31,apple
108.85,72.55,51.81,26.69,82.1,6.42,186.88,banana
33.36,67.1,19.6,28.46,67.92,6.88,70.31,blackgram
99.64,16.56,52.12,25.6,86.86,6.9,58.55,watermelon
20.15,16.37,31.08,26.11,89.02,5.3,155.85,coconut
19.01,62.09,20.96,22.36,64.85,6.26,46.43,lentil
19.4,19.0,14.63,14.64,91.57,6.5,114.64,orange
51.28,65.89,50.98,36.02,90.38,6.84,152.96,papaya
24.42,65.78,18.43,19.23,48.67,5.56,195.05,pigeonpeas
21.96,20.31,15.46,10.07,94.85,7.41,117.89,orange
63.21,50.49,44.1,26.88,81.12,6.1,296.95,rice
102.95,17.16,49.83,30.05,90.64,6.86,24.74,muskmelon
38.42,78.89,26.75,24.03,42.74,6.61,119.52,pigeonpeas
102.13,21.92,51.74,28.45,94.63,6.25,27.77,muskmelon
21.0,15.55,33.29,26.11,92.55,7.61,144.27,coconut
77.77,50.35,43.07,25.7,81.28,6.89,185.33,jute
100.0,74.89,49.46,26.25,87.09,5.92,119.15,banana
37.27,78.76,18.48,30.66,68.5,6.77,97.53,blackgram
50.29,65.39,49.89,37.95,94.69,6.46,152.27,papaya
112.25,79.02,51.83,28.2,78.89,5.63,111.93,banana
120.77,51.8,46.72,26.85,82.66,6.16,71.03,cotton
102.43,19.12,53.81,25.26,86.36,6.28,50.1,watermelon
21.03,19.82,11.69,12.41,90.27,7.23,119.9,orange
101.51,30.93,30.36,25.21,64.6,6.77,166.78,coffee
52.3,66.13,87.48,19.22,18.69,6.39,95.46,chickpea
76.73,58.65,48.66,20.32,80.26,6.06,281.06,rice
22.12,47.1,22.96,31.76,63.16,3.75,89.53,mothbeans
20.32,21.66,15.67,13.9,93.61,6.68,113.56,orange
18.36,16.59,34.69,28.06,52.33,5.36,151.71,mango
99.29,33.56,32.1,27.1,61.68,6.83,150.66,coffee
38.69,58.33,25.62,31.3,58.06,6.13,103.13,mothbeans
47.39,63.61,24.53,29.75,66.63,6.76,78.78,blackgram
23.47,16.17,41.27,24.4,89.93,6.86,163.39,pomegranate
70.65,50.78,20.36,19.21,55.95,6.98,79.34,maize
31.27,56.08,19.65,30.81,60.11,4.0,112.4,mothbeans
121.06,46.52,46.82,24.6,78.51,7.52,66.36,cotton
50.4,58.84,49.32,35.5,95.55,6.15,153.19,papaya
39.92,81.51,28.14,19.74,45.77,5.13,109.49,pigeonpeas
39.58,53.48,28.16,28.24,63.53,5.58,110.32,mothbeans
25.4,79.33,24.69,20.43,22.06,5.71,122.2,kidneybeans
100.82,32.15,31.59,27.22,64.35,6.92,160.7,coffee
42.01,63.33,19.42,32.94,69.85,6.73,97.29,blackgram
22.07,74.83,22.73,17.65,66.11,6.25,41.3,lentil
19.18,14.45,30.31,27.01,94.94,5.71,158.7,coconut
78.23,52.4,42.77,21.32,84.64,6.03,258.37,rice
20.5,17.36,11.77,10.34,95.37,7.04,111.22,orange
101.47,21.09,54.12,28.68,89.09,6.63,23.01,muskmelon
103.14,20.94,49.32,26.1,87.03,6.3,45.93,watermelon
30.1,79.34,23.01,24.89,22.68,6.45,108.3,kidneybeans
99.09,17.87,52.46,24.03,85.23,6.85,53.68,watermelon
109.77,79.24,50.28,29.92,85.01,5.57,132.66,banana
25.31,77.03,21.56,23.0,47.59,5.21,151.39,pigeonpeas
34.6,52.38,20.24,25.26,55.69,5.05,111.71,mothbeans
100.78,74.24,53.82,28.83,80.26,6.07,153.36,banana
77.85,47.47,43.42,24.09,82.71,6.82,188.65,jute
118.97,46.41,42.42,26.09,79.0,7.22,75.32,cotton
18.58,24.36,43.8,24.67,94.38,6.02,162.15,pomegranate
32.6,69.97,26.47,20.99,44.43,6.3,193.63,pigeonpeas
43.96,71.31,84.28,22.78,20.69,7.05,64.56,chickpea
74.88,50.5,21.99,24.86,68.15,6.01,109.28,maize
19.77,15.08,34.98,27.14,92.19,5.45,148.99,coconut
18.37,23.05,46.46,25.59,91.56,5.85,184.53,pomegranate
98.53,40.24,49.7,20.3,88.91,6.29,299.3,rice
25.42,69.05,21.77,19.69,42.15,5.85,190.78,pigeonpeas
21.24,129.65,205.75,8.1,85.88,6.06,69.14,grapes
40.57,66.69,20.67,29.58,69.03,6.19,67.97,blackgram
19.8,14.74,30.78,26.61,91.52,6.26,141.98,coconut
47.24,66.69,75.52,15.19,23.15,6.82,80.72,chickpea
46.16,75.36,17.03,33.15,69.17,6.58,87.62,blackgram
22.73,14.78,34.35,26.05,91.63,5.33,147.05,coconut
62.36,58.65,19.92,22.99,64.77,6.74,72.39,maize
115.59,75.03,53.81,28.52,89.19,6.11,166.2,banana
27.02,41.88,23.83,34.21,50.8,4.52,70.75,mothbeans
108.22,79.55,52.9,28.56,75.78,6.79,145.83,banana
39.28,78.19,26.67,21.73,24.09,5.7,139.53,kidneybeans
21.27,16.47,38.38,25.02,91.77,6.26,124.31,pomegranate
46.92,79.51,87.82,21.58,15.46,8.59,96.91,chickpea
22.57,15.37,35.99,26.01,89.19,7.47,143.99,coconut
18.26,21.68,10.85,13.54,90.41,6.16,115.09,orange
31.63,73.73,24.96,21.62,47.59,5.56,135.31,pigeonpeas
108.61,75.3,54.21,25.2,88.71,6.75,129.76,banana
114.71,79.97,48.79,28.6,82.5,6.84,191.99,banana
23.11,130.85,201.93,23.64,91.82,6.17,115.44,apple
36.48,79.1,27.85,18.01,22.45,5.58,112.88,kidneybeans
103.14,16.65,48.76,29.71,88.79,6.62,21.44,muskmelon
28.85,40.97,27.85,33.26,90.88,6.35,87.99,mungbean
38.77,56.37,29.8,27.6,69.39,5.01,84.75,mothbeans
22.27,16.61,34.88,27.89,90.91,5.51,149.68,coconut
60.22,52.05,24.3,25.87,63.96,6.4,99.9,maize
22.56,132.13,201.83,20.49,93.34,5.99,114.42,apple
22.63,17.78,29.04,26.93,89.17,7.73,150.37,coconut
33.85,62.69,21.59,20.51,23.63,5.92,110.54,kidneybeans
31.92,48.68,19.97,26.17,60.93,6.66,84.4,mothbeans
26.76,42.54,22.7,26.63,92.34,6.21,43.51,mungbean
21.22,69.98,18.51,21.48,67.02,7.53,44.85,lentil
100.84,21.76,53.74,26.56,86.21,6.27,45.71,watermelon
28.71,58.41,22.14,25.55,87.04,6.42,53.18,mungbean
37.88,83.93,28.71,20.94,47.8,5.95,149.75,pigeonpeas
35.92,70.44,26.31,19.85,49.39,6.27,132.45,pigeonpeas
30.14,68.76,18.92,22.87,43.83,6.64,165.95,pigeonpeas
36.56,66.7,20.09,22.98,23.78,5.65,111.99,kidneybeans
65.86,63.45,18.09,18.77,58.12,5.54,70.89,maize
80.78,50.83,44.16,25.82,84.03,6.02,172.14,jute
41.05,68.38,80.2,20.85,24.79,6.77,86.17,chickpea
23.13,129.09,201.56,23.44,94.2,6.32,116.1,apple
20.55,18.7,15.26,12.31,91.68,6.35,118.74,orange
119.5,45.72,43.19,24.92,84.1,7.13,75.22,cotton
83.43,58.8,45.75,22.72,86.43,6.19,254.56,rice
22.42,17.09,29.45,27.24,90.65,6.67,159.14,coconut
19.6,131.73,207.66,14.52,85.89,5.97,56.49,grapes
19.05,72.97,19.21,22.98,67.68,6.31,49.62,lentil
100.33,18.77,51.84,26.85,91.99,6.24,54.54,watermelon
21.51,128.16,210.21,10.6,81.6,6.9,60.67,grapes
20.65,126.17,205.29,13.9,83.93,6.57,67.92,grapes
39.0,73.86,22.6,35.96,66.44,6.54,83.67,blackgram
19.13,21.07,47.44,20.03,89.67,6.91,117.11,pomegranate
45.7,66.15,91.06,19.31,17.42,7.83,88.65,chickpea
20.5,14.43,32.46,27.75,95.21,5.03,157.73,coconut
77.09,57.38,19.73,25.84,61.68,6.27,81.55,maize
24.42,76.02,21.16,21.75,67.52,6.98,41.92,lentil
18.34,130.68,209.28,10.61,85.65,6.14,68.34,grapes
100.67,20.17,52.89,26.11,88.45,6.91,49.78,watermelon
78.64,51.14,43.9,26.86,83.53,6.66,187.13,jute
99.62,29.94,29.36,26.25,60.69,6.74,165.48,coffee
103.94,31.16,30.8,27.51,63.11,6.75,153.92,coffee
38.58,68.1,28.87,20.25,21.34,5.84,132.02,kidneybeans
80.25,45.59,39.27,25.43,82.57,6.15,173.7,jute
36.96,58.94,28.62,32.39,55.55,4.49,146.34,mothbeans
24.75,70.25,19.25,20.69,21.41,6.48,147.53,kidneybeans
111.41,72.64,48.98,28.11,78.12,6.26,154.49,banana
36.71,60.29,22.55,20.36,18.14,5.69,120.68,kidneybeans
20.44,15.17,30.22,27.58,95.69,6.24,159.05,coconut
51.02,65.75,48.98,35.94,91.41,6.79,155.67,papaya
51.43,61.65,49.44,36.78,93.16,6.96,145.22,papaya
23.62,45.38,20.38,27.47,88.06,6.56,75.28,mungbean
21.86,18.6,29.88,31.71,55.25,4.61,145.19,mango
22.17,19.29,46.07,23.66,88.82,5.69,153.69,pomegranate
99.32,18.41,48.16,24.99,88.76,6.91,56.93,watermelon
39.58,72.07,22.29,22.53,18.86,6.83,125.15,kidneybeans
70.53,60.97,18.57,18.54,58.71,5.74,112.31,maize
22.83,126.49,204.57,23.32,90.09,5.91,110.02,apple
46.0,64.83,16.61,30.54,66.33,6.51,92.22,blackgram
40.42,61.64,94.36,17.36,22.46,7.87,75.28,chickpea
20.07,131.21,198.57,9.11,82.42,6.1,67.69,grapes
19.36,131.98,211.73,12.44,81.07,5.71,59.83,grapes
105.0,72.79,52.83,27.86,81.07,6.05,121.68,banana
119.25,46.69,42.01,25.24,81.73,7.94,70.42,cotton
94.22,54.07,44.74,20.68,84.92,6.21,217.32,rice
23.21,17.51,39.9,23.22,90.0,5.87,164.52,pomegranate
21.54,40.08,26.05,31.42,89.11,6.49,64.93,mungbean
111.47,74.58,54.03,29.71,82.78,6.03,123.41,banana
79.04,49.89,42.47,25.6,83.38,6.76,182.36,jute
26.31,47.86,20.84,25.97,86.79,6.8,80.65,mungbean
60.26,59.95,19.25,26.65,57.23,6.12,65.12,maize
45.97,78.81,80.19,18.44,23.6,8.53,67.44,chickpea
55.25,75.96,83.71,21.54,15.32,7.63,60.23,chickpea
53.24,71.16,89.61,18.72,14.66,7.69,98.31,chickpea
20.97,128.91,211.25,20.99,94.01,6.61,114.48,apple
74.88,55.53,43.41,26.52,88.58,6.14,275.09,rice
37.8,66.92,19.85,18.18,22.52,6.46,117.03,kidneybeans
54.49,58.72,48.79,33.17,90.73,6.21,159.4,papaya
103.35,32.43,28.59,27.67,61.3,6.74,152.8,coffee
34.66,69.84,18.79,29.45,67.52,6.32,74.03,blackgram
39.15,60.18,29.97,22.74,23.8,5.94,100.72,kidneybeans
21.97,18.54,31.67,30.29,57.28,5.35,185.67,mango
21.64,22.42,32.57,30.38,53.98,4.08,133.56,mango
21.77,17.9,35.74,26.47,89.7,5.44,154.04,coconut
48.66,60.57,50.71,36.11,91.11,6.86,148.95,papaya
24.17,128.61,206.57,20.61,90.4,5.82,111.28,apple
46.95,73.3,90.91,22.42,16.58,7.2,66.1,chickpea
21.58,24.27,47.04,21.1,90.57,6.43,115.94,pomegranate
42.11,73.14,91.44,18.04,22.53,8.89,68.15,chickpea
100.17,19.13,49.2,29.22,90.57,6.16,22.05,muskmelon
22.94,128.54,204.75,22.39,92.83,6.55,114.34,apple
100.99,19.75,53.46,31.14,92.15,6.86,23.91,muskmelon
99.1,19.14,51.54,30.1,95.79,6.91,21.62,muskmelon
23.33,15.16,32.9,30.04,55.07,5.69,131.34,mango
19.51,20.91,35.39,33.38,59.21,6.94,101.07,mango
119.87,47.3,46.92,23.74,80.72,6.03,72.23,cotton
22.02,17.22,32.87,26.98,89.8,5.25,146.79,coconut
24.47,20.65,39.17,23.7,88.89,6.39,148.25,pomegranate
91.81,45.42,44.39,20.55,80.25,6.94,283.6,rice
102.76,20.07,49.39,29.98,94.33,6.48,25.37,muskmelon
102.93,33.3,29.53,26.88,60.74,6.99,159.58,coffee
51.35,61.44,48.08,37.63,94.22,6.2,158.39,papaya
27.89,50.6,19.94,30.72,66.11,6.16,65.39,mothbeans
74.85,56.38,20.42,21.34,69.81,5.56,112.02,maize
19.64,19.81,32.86,32.05,52.57,6.85,116.98,mango
103.14,18.3,52.12,30.88,89.93,6.17,29.72,muskmelon
37.55,79.77,18.16,19.74,42.14,5.54,124.76,pigeonpeas
27.16,59.79,26.21,34.49,86.43,6.38,73.28,mungbean
103.59,30.25,28.72,26.37,60.63,6.58,158.77,coffee
18.52,131.76,198.54,13.93,82.91,6.81,62.27,grapes
22.51,16.11,31.34,26.42,94.6,6.87,149.36,coconut
118.86,47.23,45.73,23.66,83.77,7.62,72.15,cotton
28.37,80.02,19.22,19.94,42.76,5.86,198.04,pigeonpeas
85.1,51.69,49.01,20.32,82.81,6.93,289.03,rice
21.65,128.82,206.65,22.87,92.35,6.86,115.6,apple
24.27,23.26,38.04,22.24,90.95,5.84,119.96,pomegranate
100.34,30.29,28.54,27.12,60.76,6.27,150.07,coffee
57.6,73.02,85.66,17.59,17.66,8.01,99.77,chickpea
118.55,47.08,43.83,26.54,82.79,7.34,76.98,cotton
79.06,45.51,40.84,24.12,83.85,6.21,176.57,jute
19.07,22.1,33.74,27.2,54.12,5.0,166.94,mango
105.41,81.87,51.63,27.31,79.72,6.37,172.99,banana
48.36,59.69,48.52,34.44,94.39,6.57,152.24,papaya
23.83,128.62,208.28,20.42,94.74,6.3,112.92,apple
56.12,75.8,81.09,15.65,18.43,6.52,87.8,chickpea
69.7,42.3,46.11,22.02,85.81,5.73,248.11,rice
30.98,70.75,21.68,20.47,46.21,5.67,173.27,pigeonpeas
31.14,44.63,24.03,32.31,69.16,4.27,138.62,mothbeans
30.83,41.72,18.68,26.05,90.86,6.54,54.02,mungbean
81.45,50.4,40.88,24.55,84.59,6.53,187.05,jute
21.01,20.24,39.57,20.22,94.63,5.86,123.99,pomegranate
22.49,129.87,210.35,12.37,84.79,6.88,68.5,grapes
27.44,53.23,19.69,30.71,53.71,4.48,71.87,mothbeans
78.96,47.94,44.78,26.08,83.03,6.56,189.49,jute
77.24,64.19,20.61,20.44,64.66,6.11,61.52,maize
22.3,15.92,33.72,26.87,92.91,5.17,153.93,coconut
64.0,52.51,18.73,23.73,65.6,5.55,116.17,maize
55.44,60.54,76.3,18.71,24.0,7.62,79.91,chickpea
106.19,79.96,52.66,26.43,81.9,5.79,121.04,banana
79.71,40.23,44.69,20.39,81.19,5.68,264.92,rice
21.67,16.33,32.42,26.37,95.26,5.75,141.83,coconut
80.84,47.02,40.86,25.57,78.94,6.03,173.06,jute
20.25,17.52,32.74,33.59,51.03,6.83,179.51,mango
99.07,21.34,49.71,30.92,94.49,6.86,29.92,muskmelon
23.88,130.96,207.02,23.03,90.71,6.75,117.06,apple
105.31,82.85,50.24,27.76,75.76,5.57,172.04,banana
34.1,81.34,24.56,24.77,40.52,6.01,171.85,pigeonpeas
46.9,67.9,16.46,31.22,68.37,6.45,91.21,blackgram
22.91,15.44,15.42,14.07,91.89,7.46,112.88,orange
45.45,68.27,77.44,16.45,21.49,6.54,81.01,chickpea
101.8,17.53,49.84,24.12,87.14,6.74,40.95,watermelon
112.1,78.72,51.4,27.52,77.65,6.72,154.18,banana
20.43,134.7,198.54,23.01,93.15,6.05,110.66,apple
46.49,67.33,82.92,20.56,18.27,7.35,69.5,chickpea
99.48,29.48,29.76,27.75,63.97,6.58,160.41,coffee
21.13,72.48,29.33,22.49,46.71,6.26,119.9,pigeonpeas
22.11,15.86,15.09,12.07,91.52,7.3,114.32,orange
23.23,129.94,206.68,22.18,94.44,6.56,115.34,apple
22.0,14.7,31.6,26.06,89.96,5.52,141.09,coconut
49.24,64.98,53.2,36.3,92.85,6.26,159.59,papaya
101.34,19.94,54.27,25.18,91.73,6.42,52.02,watermelon
20.38,56.54,24.3,32.75,54.69,4.71,53.01,mothbeans
48.94,60.32,52.64,36.07,93.72,6.68,152.75,papaya
51.34,74.77,92.57,18.23,17.6,8.0,92.31,chickpea
24.02,22.39,42.82,23.64,94.83,6.95,121.53,pomegranate
50.47,65.74,90.86,19.62,20.98,8.39,75.84,chickpea
49.37,61.88,53.49,35.43,92.35,6.08,151.01,papaya
23.71,67.57,18.62,18.74,69.89,7.26,44.16,lentil
24.45,133.59,199.07,20.43,92.97,6.41,112.75,apple
22.56,23.42,42.18,20.51,89.92,6.97,159.63,pomegranate
54.18,62.14,86.35,17.05,24.59,7.45,92.24,chickpea
24.78,22.53,34.68,27.26,54.68,5.94,183.0,mango
48.94,72.01,85.31,22.36,19.47,8.98,94.06,chickpea
18.26,21.79,40.63,20.37,89.62,6.7,185.15,pomegranate
101.77,17.13,54.02,24.77,86.59,6.48,49.98,watermelon
32.52,69.78,22.82,24.96,24.16,6.44,128.47,kidneybeans
36.65,56.08,28.4,25.6,91.92,6.14,64.95,mungbean
103.79,20.18,52.17,29.84,90.92,6.35,26.36,muskmelon
101.55,16.77,53.17,25.19,86.84,6.38,49.96,watermelon
36.63,71.98,19.38,18.66,24.37,6.5,141.46,kidneybeans
102.39,20.35,54.76,29.04,88.15,6.55,27.07,muskmelon
24.11,18.95,31.35,28.66,53.78,4.95,167.73,mango
88.53,55.22,45.61,25.4,84.94,6.28,242.75,rice
37.03,78.19,21.12,34.1,69.06,6.34,80.18,blackgram
44.1,77.56,92.59,21.96,16.63,7.35,99.4,chickpea
119.91,72.27,48.79,28.05,87.31,5.93,123.92,banana
36.96,77.91,24.7,31.55,66.6,6.53,89.07,blackgram
21.48,72.51,27.65,21.03,49.97,6.12,132.12,pigeonpeas
49.8,58.81,52.24,36.4,94.5,6.86,149.73,papaya
20.3,84.3,21.01,22.73,47.07,6.22,131.29,pigeonpeas
31.09,56.52,25.58,32.84,90.99,6.41,97.48,mungbean
20.68,14.71,35.47,27.52,92.37,7.04,157.95,coconut
117.77,45.93,43.23,26.07,79.36,6.04,79.16,cotton
18.1,129.25,201.88,15.76,82.98,6.53,65.11,grapes
24.24,134.93,207.51,23.75,94.96,6.77,115.69,apple
19.81,64.87,21.2,22.08,65.24,7.42,40.21,lentil
115.79,72.37,54.77,27.63,79.55,6.04,106.64,banana
79.55,46.23,43.64,26.67,83.96,6.43,185.17,jute
20.1,131.71,204.57,21.39,95.17,6.78,110.22,apple
24.35,21.29,38.85,23.15,93.29,6.69,149.46,pomegranate
24.51,126.27,209.53,21.64,95.94,6.21,115.54,apple
27.38,47.14,22.13,30.21,89.41,6.88,70.33,mungbean
99.6,19.89,51.97,30.21,88.25,6.47,29.25,muskmelon
101.51,28.67,32.13,26.33,61.13,6.36,150.34,coffee
99.24,28.03,30.44,27.49,64.25,6.19,162.39,coffee
38.37,84.02,24.93,20.5,47.88,5.5,156.41,pigeonpeas
77.78,46.75,41.42,26.1,84.9,6.44,180.36,jute
20.36,79.26,26.72,20.13,23.81,5.92,143.64,kidneybeans
116.72,75.18,51.14,27.69,84.95,6.68,139.48,banana
77.54,55.89,23.72,21.95,60.65,6.19,78.08,maize
78.12,49.29,42.4,26.2,82.35,6.97,173.95,jute
79.94,57.53,22.17,18.6,66.25,5.81,113.88,maize
37.25,68.59,27.6,21.87,43.97,5.26,186.53,pigeonpeas
20.56,21.11,33.87,29.74,51.08,4.21,158.89,mango
25.87,75.46,24.22,20.44,20.6,5.5,114.99,kidneybeans
21.32,20.02,38.07,25.74,90.52,6.31,167.73,pomegranate
103.36,19.98,50.39,26.05,85.14,6.74,49.74,watermelon
30.2,68.18,18.96,33.55,68.83,6.3,93.41,blackgram
74.73,64.02,24.48,22.06,56.7,6.98,110.33,maize
99.87,51.11,47.69,26.61,88.5,5.87,245.05,rice
27.45,58.57,18.74,25.92,53.26,5.58,65.05,mothbeans
37.8,65.75,22.41,18.41,18.78,6.27,113.38,kidneybeans
21.56,19.77,30.89,27.23,56.05,5.19,129.87,mango
120.99,45.89,44.38,24.09,79.33,6.25,77.09,cotton
53.05,60.04,48.62,33.39,92.98,6.95,144.35,papaya
38.65,42.37,29.2,31.84,60.63,3.61,97.56,mothbeans
118.65,46.62,47.33,23.22,78.41,7.1,72.22,cotton
27.63,55.5,22.11,31.28,86.92,6.15,96.28,mungbean
21.47,15.78,13.39,11.24,92.59,6.95,112.57,orange
77.93,48.18,43.23,24.84,78.14,6.54,189.13,jute
32.38,60.73,16.47,34.67,65.59,6.05,80.33,blackgram
30.97,48.05,24.24,34.97,86.35,6.68,63.76,mungbean
101.03,33.48,30.47,26.38,64.87,6.2,151.31,coffee
112.47,72.68,48.17,27.25,79.99,6.16,126.27,banana
34.59,84.34,20.69,22.64,47.42,6.7,142.26,pigeonpeas
51.56,65.99,52.86,34.54,96.14,6.78,140.31,papaya
23.69,132.67,210.68,21.64,95.72,6.8,112.97,apple
24.56,18.78,46.7,25.35,89.73,5.55,110.18,pomegranate
62.62,50.49,24.45,23.55,66.95,6.22,67.04,maize
22.44,24.15,30.46,32.32,50.79,5.81,116.39,mango
21.3,16.95,32.43,26.06,89.45,6.61,154.38,coconut
23.88,127.88,202.54,22.72,93.38,5.74,113.1,apple
19.67,78.99,20.14,17.35,66.76,6.61,40.35,lentil
77.2,49.29,43.64,25.31,81.88,6.8,182.21,jute
29.31,40.27,18.98,27.59,50.56,5.71,92.64,mothbeans
19.43,72.54,20.51,23.97,66.88,6.97,45.66,lentil
20.4,14.97,29.44,26.36,89.87,7.74,142.81,coconut
38.54,69.38,24.36,33.13,66.56,6.53,67.31,blackgram
81.44,48.25,41.61,25.0,79.94,6.66,172.4,jute
39.85,44.81,28.49,33.31,87.25,6.4,64.58,mungbean
119.79,51.03,46.99,24.13,81.38,6.17,78.73,cotton
100.89,16.05,48.06,25.38,88.42,6.02,53.74,watermelon
20.52,133.58,202.34,23.89,90.71,6.94,110.91,apple
19.87,126.66,199.34,16.23,81.64,6.47,61.2,grapes
21.62,15.78,31.43,27.67,94.31,5.96,142.06,coconut
20.5,133.18,206.17,12.85,84.18,5.81,55.06,grapes
102.85,17.96,49.7,24.51,90.42,6.13,49.08,watermelon
99.47,47.49,43.71,25.69,89.47,6.98,275.34,rice
18.85,16.14,31.88,32.18,57.12,4.54,107.96,mango
20.5,15.08,34.87,27.26,59.4,6.68,153.55,mango
100.63,29.03,31.67,25.24,58.82,6.18,165.49,coffee
18.47,24.99,38.25,25.85,90.56,6.76,155.46,pomegranate
111.78,73.07,51.02,25.87,89.81,6.34,168.74,banana
20.57,123.98,211.69,8.97,87.52,6.87,62.88,grapes
78.07,51.22,44.95,24.26,84.04,6.39,180.48,jute
18.11,17.36,10.87,11.16,95.43,6.06,112.2,orange
117.4,49.6,45.92,23.38,79.55,7.99,75.18,cotton
22.64,16.58,33.82,28.03,54.25,4.74,174.84,mango
51.81,65.01,51.8,34.19,95.96,6.56,144.14,papaya
100.6,17.01,49.84,28.14,93.64,6.49,20.94,muskmelon
24.25,53.27,22.93,29.02,67.69,6.63,140.92,mothbeans
81.47,49.46,42.83,26.0,81.15,6.69,171.39,jute
40.6,66.16,89.09,16.61,21.41,8.91,63.76,chickpea
39.23,53.36,29.2,27.65,62.23,5.87,81.75,mothbeans
20.91,20.04,43.99,20.5,89.59,6.9,190.84,pomegranate
100.99,19.48,54.64,24.21,88.55,6.33,50.17,watermelon
21.01,41.06,26.3,29.58,54.53,5.65,75.29,mothbeans
120.82,46.18,45.79,23.34,84.57,6.58,68.4,cotton
49.68,64.88,54.47,37.13,92.34,6.27,150.98,papaya
100.63,18.85,52.22,26.96,91.56,6.86,57.78,watermelon
38.35,48.13,19.72,32.15,55.87,5.34,119.78,mothbeans
85.29,52.67,45.36,20.63,88.35,5.98,218.65,rice
19.17,16.7,32.76,26.89,93.44,7.48,148.55,coconut
33.65,51.51,23.15,27.76,65.37,4.29,119.24,mothbeans
25.44,44.36,25.94,31.34,61.87,3.56,122.88,mothbeans
75.47,51.96,24.79,22.08,58.54,5.61,70.19,maize
77.35,47.97,46.16,24.45,80.45,6.06,262.59,rice
69.03,52.45,23.56,24.24,58.31,5.62,100.83,maize
21.35,15.1,29.23,27.64,90.93,7.39,145.76,coconut
